label,dataset,origin,file
acontecer,MINDS,Sinalizador011,acontecer\minds\minds_01.mp4
acontecer,MINDS,Sinalizador012,acontecer\minds\minds_02.mp4
acontecer,MINDS,Sinalizador013,acontecer\minds\minds_03.mp4
acontecer,MINDS,Sinalizador014,acontecer\minds\minds_04.mp4
acontecer,MINDS,Sinalizador015,acontecer\minds\minds_05.mp4
acontecer,MINDS,Sinalizador021,acontecer\minds\minds_06.mp4
acontecer,MINDS,Sinalizador022,acontecer\minds\minds_07.mp4
acontecer,MINDS,Sinalizador023,acontecer\minds\minds_08.mp4
acontecer,MINDS,Sinalizador024,acontecer\minds\minds_09.mp4
acontecer,MINDS,Sinalizador025,acontecer\minds\minds_10.mp4
acontecer,MINDS,Sinalizador051,acontecer\minds\minds_11.mp4
acontecer,MINDS,Sinalizador052,acontecer\minds\minds_12.mp4
acontecer,MINDS,Sinalizador053,acontecer\minds\minds_13.mp4
acontecer,MINDS,Sinalizador054,acontecer\minds\minds_14.mp4
acontecer,MINDS,Sinalizador055,acontecer\minds\minds_15.mp4
acontecer,MINDS,Sinalizador061,acontecer\minds\minds_16.mp4
acontecer,MINDS,Sinalizador062,acontecer\minds\minds_17.mp4
acontecer,MINDS,Sinalizador063,acontecer\minds\minds_18.mp4
acontecer,MINDS,Sinalizador064,acontecer\minds\minds_19.mp4
acontecer,MINDS,Sinalizador065,acontecer\minds\minds_20.mp4
acontecer,MINDS,Sinalizador081,acontecer\minds\minds_21.mp4
acontecer,MINDS,Sinalizador082,acontecer\minds\minds_22.mp4
acontecer,MINDS,Sinalizador083,acontecer\minds\minds_23.mp4
acontecer,MINDS,Sinalizador084,acontecer\minds\minds_24.mp4
acontecer,MINDS,Sinalizador085,acontecer\minds\minds_25.mp4
acontecer,MINDS,Sinalizador101,acontecer\minds\minds_26.mp4
acontecer,MINDS,Sinalizador102,acontecer\minds\minds_27.mp4
acontecer,MINDS,Sinalizador103,acontecer\minds\minds_28.mp4
acontecer,MINDS,Sinalizador104,acontecer\minds\minds_29.mp4
acontecer,MINDS,Sinalizador105,acontecer\minds\minds_30.mp4
acontecer,MINDS,Sinalizador111,acontecer\minds\minds_31.mp4
acontecer,MINDS,Sinalizador112,acontecer\minds\minds_32.mp4
acontecer,MINDS,Sinalizador113,acontecer\minds\minds_33.mp4
acontecer,MINDS,Sinalizador114,acontecer\minds\minds_34.mp4
acontecer,MINDS,Sinalizador115,acontecer\minds\minds_35.mp4
acontecer,MINDS,Sinalizador121,acontecer\minds\minds_36.mp4
acontecer,MINDS,Sinalizador122,acontecer\minds\minds_37.mp4
acontecer,MINDS,Sinalizador123,acontecer\minds\minds_38.mp4
acontecer,MINDS,Sinalizador124,acontecer\minds\minds_39.mp4
acontecer,MINDS,Sinalizador125,acontecer\minds\minds_40.mp4
acontecer,MALTA,Acessibilidades3,acontecer\malta\malta_01.mp4
acontecer,MALTA,Acessibilidades3,acontecer\malta\malta_02.mp4
acontecer,MALTA,Acessibilidades3,acontecer\malta\malta_03.mp4
acontecer,MALTA,SpreadTheSign,acontecer\malta\malta_04.mp4
acontecer,MALTA,UFSC,acontecer\malta\malta_05.mp4
acontecer,MALTA,UFSC,acontecer\malta\malta_06.mp4
acontecer,MALTA,UFV,acontecer\malta\malta_07.mp4
aluno,MINDS,Sinalizador011,aluno\minds\minds_01.mp4
aluno,MINDS,Sinalizador012,aluno\minds\minds_02.mp4
aluno,MINDS,Sinalizador013,aluno\minds\minds_03.mp4
aluno,MINDS,Sinalizador014,aluno\minds\minds_04.mp4
aluno,MINDS,Sinalizador015,aluno\minds\minds_05.mp4
aluno,MINDS,Sinalizador021,aluno\minds\minds_06.mp4
aluno,MINDS,Sinalizador022,aluno\minds\minds_07.mp4
aluno,MINDS,Sinalizador023,aluno\minds\minds_08.mp4
aluno,MINDS,Sinalizador024,aluno\minds\minds_09.mp4
aluno,MINDS,Sinalizador025,aluno\minds\minds_10.mp4
aluno,MINDS,Sinalizador051,aluno\minds\minds_11.mp4
aluno,MINDS,Sinalizador052,aluno\minds\minds_12.mp4
aluno,MINDS,Sinalizador053,aluno\minds\minds_13.mp4
aluno,MINDS,Sinalizador054,aluno\minds\minds_14.mp4
aluno,MINDS,Sinalizador055,aluno\minds\minds_15.mp4
aluno,MINDS,Sinalizador061,aluno\minds\minds_16.mp4
aluno,MINDS,Sinalizador062,aluno\minds\minds_17.mp4
aluno,MINDS,Sinalizador063,aluno\minds\minds_18.mp4
aluno,MINDS,Sinalizador064,aluno\minds\minds_19.mp4
aluno,MINDS,Sinalizador065,aluno\minds\minds_20.mp4
aluno,MINDS,Sinalizador081,aluno\minds\minds_21.mp4
aluno,MINDS,Sinalizador082,aluno\minds\minds_22.mp4
aluno,MINDS,Sinalizador083,aluno\minds\minds_23.mp4
aluno,MINDS,Sinalizador084,aluno\minds\minds_24.mp4
aluno,MINDS,Sinalizador085,aluno\minds\minds_25.mp4
aluno,MINDS,Sinalizador101,aluno\minds\minds_26.mp4
aluno,MINDS,Sinalizador102,aluno\minds\minds_27.mp4
aluno,MINDS,Sinalizador103,aluno\minds\minds_28.mp4
aluno,MINDS,Sinalizador104,aluno\minds\minds_29.mp4
aluno,MINDS,Sinalizador105,aluno\minds\minds_30.mp4
aluno,MINDS,Sinalizador111,aluno\minds\minds_31.mp4
aluno,MINDS,Sinalizador112,aluno\minds\minds_32.mp4
aluno,MINDS,Sinalizador113,aluno\minds\minds_33.mp4
aluno,MINDS,Sinalizador114,aluno\minds\minds_34.mp4
aluno,MINDS,Sinalizador115,aluno\minds\minds_35.mp4
aluno,MINDS,Sinalizador121,aluno\minds\minds_36.mp4
aluno,MINDS,Sinalizador122,aluno\minds\minds_37.mp4
aluno,MINDS,Sinalizador123,aluno\minds\minds_38.mp4
aluno,MINDS,Sinalizador124,aluno\minds\minds_39.mp4
aluno,MINDS,Sinalizador125,aluno\minds\minds_40.mp4
aluno,MALTA,Acessibilidades3,aluno\malta\malta_01.mp4
