resolution;blur_type;blur_kernel_size;frames_at_least_one_hand;frames_no_hands;success_rate
1920x1080;gaussian;3;760;331;69.6609
1920x1080;median;3;760;331;69.6609
1920x1080;gaussian;5;758;333;69.4775
1920x1080;median;5;758;333;69.4775
1280x720;median;3;759;332;69.5692
1280x720;median;5;761;330;69.7525
1920x1080;bilateral;3;760;331;69.6609
1920x1080;bilateral;5;759;332;69.5692
1280x720;gaussian;3;759;332;69.5692
1280x720;bilateral;3;761;330;69.7525
1280x720;gaussian;5;761;330;69.7525
960x540;median;3;759;332;69.5692
1280x720;bilateral;5;760;331;69.6609
960x540;gaussian;3;759;332;69.5692
960x540;median;5;760;331;69.6609
960x540;gaussian;5;760;331;69.6609
960x540;bilateral;3;762;329;69.8442
640x360;median;3;761;330;69.7525
960x540;bilateral;5;761;330;69.7525
640x360;median;5;760;331;69.6609
640x360;gaussian;3;761;330;69.7525
640x360;gaussian;5;760;331;69.6609
640x360;bilateral;3;762;329;69.8442
640x360;bilateral;5;764;327;70.0275
480x270;median;3;763;328;69.9358
480x270;median;5;734;357;67.2777
480x270;gaussian;3;763;328;69.9358
480x270;gaussian;5;734;357;67.2777
480x270;bilateral;3;762;329;69.8442
480x270;bilateral;5;762;329;69.8442
