resolution;sharpening;clahe;total_frames;frames_at_least_one_hand;frames_no_hands;success_rate;failure_rate;elapsed_seconds
1920x1080;True;False;1091;754;337;69.1109;30.8891;46.72
1920x1080;False;False;1091;759;332;69.5692;30.4308;46.99
1280x720;False;False;1091;764;327;70.0275;29.9725;32.08
1920x1080;False;True;1091;734;357;67.2777;32.7223;81.26
1920x1080;True;True;1091;713;378;65.3529;34.6471;86.27
1280x720;False;True;1091;735;356;67.3694;32.6306;49.55
1280x720;True;False;1091;739;352;67.7360;32.2640;34.60
960x540;False;False;1091;763;328;69.9358;30.0642;30.78
1280x720;True;True;1091;704;387;64.5280;35.4720;52.05
960x540;False;True;1091;740;351;67.8277;32.1723;40.78
960x540;True;False;1091;720;371;65.9945;34.0055;31.82
960x540;True;True;1091;668;423;61.2282;38.7718;41.78
640x360;False;False;1091;762;329;69.8442;30.1558;28.41
640x360;False;True;1091;743;348;68.1027;31.8973;31.88
640x360;True;False;1091;680;411;62.3281;37.6719;28.55
480x270;False;False;1091;766;325;70.2108;29.7892;28.42
640x360;True;True;1091;620;471;56.8286;43.1714;32.27
480x270;False;True;1091;750;341;68.7443;31.2557;29.99
480x270;True;False;1091;641;450;58.7534;41.2466;27.80
480x270;True;True;1091;581;510;53.2539;46.7461;26.86
