resolution;sharpening;clahe;blur_type;blur_kernel_size;total_frames;frames_at_least_one_hand;frames_no_hands;success_rate;failure_rate;elapsed_seconds
1920x1080;False;False;gaussian;3;1091;760;331;69.6609;30.3391;49.70
1920x1080;False;False;median;3;1091;760;331;69.6609;30.3391;50.03
1920x1080;False;False;gaussian;5;1091;758;333;69.4775;30.5225;54.84
1920x1080;False;False;median;5;1091;758;333;69.4775;30.5225;54.89
1280x720;False;False;median;3;1091;759;332;69.5692;30.4308;32.75
1280x720;False;False;median;5;1091;761;330;69.7525;30.2475;39.20
1920x1080;False;False;bilateral;3;1091;760;331;69.6609;30.3391;45.32
1920x1080;False;False;bilateral;5;1091;759;332;69.5692;30.4308;64.00
1280x720;False;False;gaussian;3;1091;759;332;69.5692;30.4308;32.85
1280x720;False;False;bilateral;3;1091;761;330;69.7525;30.2475;35.87
1280x720;False;False;gaussian;5;1091;761;330;69.7525;30.2475;39.09
960x540;False;False;median;3;1091;759;332;69.5692;30.4308;31.25
1280x720;False;False;bilateral;5;1091;760;331;69.6609;30.3391;44.25
960x540;False;False;gaussian;3;1091;759;332;69.5692;30.4308;30.91
960x540;False;False;median;5;1091;760;331;69.6609;30.3391;34.67
960x540;False;False;gaussian;5;1091;760;331;69.6609;30.3391;34.72
960x540;False;False;bilateral;3;1091;762;329;69.8442;30.1558;33.21
640x360;False;False;median;3;1091;761;330;69.7525;30.2475;28.63
960x540;False;False;bilateral;5;1091;761;330;69.7525;30.2475;37.50
640x360;False;False;median;5;1091;760;331;69.6609;30.3391;29.94
640x360;False;False;gaussian;3;1091;761;330;69.7525;30.2475;28.14
640x360;False;False;gaussian;5;1091;760;331;69.6609;30.3391;29.95
640x360;False;False;bilateral;3;1091;762;329;69.8442;30.1558;28.84
640x360;False;False;bilateral;5;1091;764;327;70.0275;29.9725;30.71
480x270;False;False;median;3;1091;763;328;69.9358;30.0642;28.10
480x270;False;False;median;5;1091;734;357;67.2777;32.7223;28.63
480x270;False;False;gaussian;3;1091;763;328;69.9358;30.0642;28.06
480x270;False;False;gaussian;5;1091;734;357;67.2777;32.7223;27.99
480x270;False;False;bilateral;3;1091;762;329;69.8442;30.1558;27.71
480x270;False;False;bilateral;5;1091;762;329;69.8442;30.1558;27.77
