resolution;sharpening;clahe;total_frames;frames_at_least_one_hand;frames_no_hands;success_rate;failure_rate;elapsed_seconds
1920x1080;False;False;21124;12938;8186;61.2479;38.7521;1007.85
1920x1080;True;False;21124;12967;8157;61.3852;38.6148;1018.94
1920x1080;False;True;21124;12688;8436;60.0644;39.9356;1826.74
1920x1080;True;True;21124;12557;8567;59.4442;40.5558;1867.89
1280x720;False;False;21124;13023;8101;61.6503;38.3497;1021.87
1280x720;False;True;21124;12737;8387;60.2963;39.7037;1283.87
960x540;False;False;21124;13067;8057;61.8585;38.1415;786.46
1280x720;True;False;21124;13027;8097;61.6692;38.3308;1038.79
1280x720;True;True;21124;12724;8400;60.2348;39.7652;1383.44
960x540;False;True;21124;12780;8344;60.4999;39.5001;969.36
960x540;True;False;21124;12908;8216;61.1059;38.8941;861.89
960x540;True;True;21124;12415;8709;58.7720;41.2280;1029.53
640x360;False;False;21124;13136;7988;62.1852;37.8148;763.71
640x360;False;True;21124;12904;8220;61.0869;38.9131;820.17
640x360;True;False;21124;12632;8492;59.7993;40.2007;817.48
480x270;False;False;21124;13094;8030;61.9864;38.0136;715.31
640x360;True;True;21124;11694;9430;55.3588;44.6412;880.83
480x270;False;True;21124;12937;8187;61.2431;38.7569;768.56
480x270;True;False;21124;11941;9183;56.5281;43.4719;854.59
480x270;True;True;21124;10320;10804;48.8544;51.1456;848.12
