resolution;sharpening;clahe;blur_type;blur_kernel_size;total_frames;frames_at_least_one_hand;frames_no_hands;success_rate;failure_rate;elapsed_seconds
1920x1080;False;False;median;3;21124;13066;8058;61.8538;38.1462;961.11
1920x1080;False;False;gaussian;3;21124;13066;8058;61.8538;38.1462;961.08
1920x1080;False;False;gaussian;5;21124;13149;7975;62.2467;37.7533;1156.56
1920x1080;False;False;median;5;21124;13149;7975;62.2467;37.7533;1158.33
1920x1080;False;False;bilateral;3;21124;13024;8100;61.6550;38.3450;1081.77
1280x720;False;False;median;3;21124;13149;7975;62.2467;37.7533;910.28
1280x720;False;False;median;5;21124;13121;8003;62.1142;37.8858;1026.45
1920x1080;False;False;bilateral;5;21124;13105;8019;62.0384;37.9616;1367.00
1280x720;False;False;gaussian;3;21124;13149;7975;62.2467;37.7533;933.42
1280x720;False;False;gaussian;5;21124;13121;8003;62.1142;37.8858;1022.06
1280x720;False;False;bilateral;3;21124;13113;8011;62.0763;37.9237;965.00
1280x720;False;False;bilateral;5;21124;13143;7981;62.2183;37.7817;1119.70
960x540;False;False;median;3;21124;13200;7924;62.4882;37.5118;737.14
960x540;False;False;gaussian;3;21124;13200;7924;62.4882;37.5118;720.18
960x540;False;False;median;5;21124;12980;8144;61.4467;38.5533;789.09
960x540;False;False;gaussian;5;21124;12980;8144;61.4467;38.5533;810.41
960x540;False;False;bilateral;3;21124;13158;7966;62.2893;37.7107;779.38
640x360;False;False;median;3;21124;13067;8057;61.8585;38.1415;731.69
960x540;False;False;bilateral;5;21124;13099;8025;62.0100;37.9900;851.96
640x360;False;False;median;5;21124;12348;8776;58.4548;41.5452;820.30
640x360;False;False;gaussian;3;21124;13067;8057;61.8585;38.1415;721.47
640x360;False;False;gaussian;5;21124;12348;8776;58.4548;41.5452;745.93
640x360;False;False;bilateral;3;21124;13038;8086;61.7213;38.2787;724.76
640x360;False;False;bilateral;5;21124;12754;8370;60.3768;39.6232;778.86
480x270;False;False;median;3;21124;12774;8350;60.4715;39.5285;702.38
480x270;False;False;median;5;21124;11290;9834;53.4463;46.5537;712.08
480x270;False;False;gaussian;3;21124;12774;8350;60.4715;39.5285;700.40
480x270;False;False;gaussian;5;21124;11290;9834;53.4463;46.5537;707.72
480x270;False;False;bilateral;3;21124;12812;8312;60.6514;39.3486;680.59
480x270;False;False;bilateral;5;21124;12312;8812;58.2844;41.7156;668.37
